1.1,0.637 0.162 0.862 0.247 0.974 0.863
1.2,0.988 0.722 0.787 0.470 0.133 0.317
1.3,0.578 0.188 0.361 0.580 0.974 0.259
1.4,0.166 0.807 0.787 0.705 0.871 0.635
1.5,0.507 0.458 0.250 0.247 0.377 0.711
2.1,0.557 0.208 0.787 0.990 0.987 0.171
2.2,0.929 0.057 0.152 0.240 0.548 0.631
2.3,0.288 0.704 0.624 0.804 0.216 0.955
2.4,0.223 0.414 0.116 0.970 0.794 0.299
2.5,0.107 0.472 0.420 0.522 0.132 0.844
3.1,0.162 0.325 0.286 0.801 0.871 0.863
3.2,0.497 0.263 0.823 0.788 0.687 0.343
3.3,0.796 0.047 0.286 0.578 0.145 0.453
3.4,0.622 0.843 0.719 0.705 0.523 0.571
3.5,0.990 0.458 0.823 0.737 0.741 0.863
4.1,0.171 0.489 0.653 0.470 0.871 0.711
4.2,0.607 0.590 0.539 0.619 0.408 0.863
4.3,0.366 0.414 0.315 0.232 0.940 0.971
4.4,0.710 0.211 0.152 0.470 0.229 0.442
4.5,0.262 0.167 0.420 0.946 0.408 0.163
5.1,0.899 0.590 0.278 0.470 0.522 0.644
5.2,0.903 0.076 0.173 0.283 0.540 0.427
5.3,0.063 0.380 0.958 0.804 0.271 0.863
5.4,0.153 0.961 0.163 0.245 0.408 0.297
5.5,0.062 0.065 0.226 0.468 0.940 0.314
